created_at,text,retweets,likes
Mon Mar 01 17:05:54 +0000 2021,"To those people who felt inconvenienced: I am not sorry.

I am not your free labor. If we are not worthy enough for you to understand our ""reasons"" or pain, then you don't deserve to benefit from our contributions as well https://t.co/iazidt8H99",68,1504
Mon Mar 01 17:05:52 +0000 2021,"To be clear, I reject the myth of the Model Minority. It uses Asian-Am contributions to divide us when at the end of the day we are otherized just the same. Many Asian-Ams face high-rates of poverty. We are not immune to over-policing
 https://t.co/UXrbC0jSo2",30,403
Mon Mar 01 17:05:52 +0000 2021,"TurboVax is back online. Thanks for the support, I hope you'll follow your messages with real action

I'd esp like to appreciate our BIPOC neighbors who stand with us. Our communities face different forms of racial discrimination but the fight for equity is shared amongst us all",144,3275
Sat Feb 27 17:20:08 +0000 2021,"I’ve poured my heart and soul into building this tool for the benefit of all New Yorkers. I believe it’s only right that I share this moment of intense fear and anxiety with my fellow New Yorkers as well.

TurboVax will be back at 12PM Monday.",210,4415
Sat Feb 27 17:20:08 +0000 2021,"3) Be an ally. Educate yourself on the issue. Ask the Asian-Americans in your life how they’re coping.

I’ll be attending this rally today at 1PM. I hope to see you there 

https://t.co/3DA3oPsC43",188,2019
Sat Feb 27 17:20:08 +0000 2021,"2) If you witness a hate crime, document, report and—only when safe—intervene.

We know that crimes like these are vastly under-reported, due to language barriers or fear of police. We must understand the scale of this problem before we can solve it.

https://t.co/CxNkZ2MOhq",251,1545
Sat Feb 27 17:20:08 +0000 2021,"1) Call, write or tweet your local representatives and ask what steps they are taking to stop Asian hate. Moral platitudes are nice, but we should demand concrete action from our elected officials.",280,1786
Sat Feb 27 17:20:07 +0000 2021,"Our elders are being shoved, robbed, and doused with chemicals. For what ends? 

I ask that you take the following actions:

https://t.co/bPqXCbsEBZ",443,1707
Sat Feb 27 17:20:07 +0000 2021,"Earlier this month, 61-yo Noel Quintana was slashed from ear-to-ear while on his way to work. Nobody rendered any aid, so he staggered out of the L train alone to find help. He received almost 100 stitches. He could’ve been your dad or mine

https://t.co/Ccarhyu17I",288,1541
Sat Feb 27 17:20:07 +0000 2021,"Two days ago, a 36-yo Asian man was stabbed, completely unprovoked, in Chinatown. He is currently in a medically-induced coma and would be lucky to survive.

I’ve walked past that corner hundreds of times. On another day, that could’ve been me

https://t.co/F94pUrZUC7",335,1669
Sat Feb 27 17:20:07 +0000 2021,"Announcement: I am temporarily suspending TurboVax

Anti-Asian hate crimes are out of control. I am taking a stand because I fear for my friends and family",1958,11168
Sat Feb 27 13:13:10 +0000 2021,"[NYS Dept. of Health · Brooklyn] Medgar Evers College (Brooklyn residents only): 14659 appts

Mar 5 – 8:00AM-9:00PM
Mar 6 – 8:00AM-9:00PM
Mar 7 – 8:00AM-9:00PM
+ 8 more days

https://t.co/rpNlvKMeLw",203,276
Sat Feb 27 13:13:10 +0000 2021,"[NYS Dept. of Health · Queens] York College (Queens residents only): 11241 appts

Mar 11 – 8:00AM-9:00PM
Mar 12 – 8:00AM-9:00PM
Mar 13 – 8:00AM-9:00PM
+ 3 more days

https://t.co/rpNlvKMeLw",47,74
Sat Feb 27 05:08:06 +0000 2021,"[NYC H+H · Staten Island] Gotham Health/Vanderbilt: 31 appts

Mar 6 – 12:30AM, 1:00AM, 1:30AM + 28

https://t.co/iVRnr1hjSf",7,21
Sat Feb 27 05:01:47 +0000 2021,"[NYC H+H · Queens] Citi Field (Queens residents/eligible groups only): 64 appts

Mar 6 – 8:00AM, 8:15AM, 8:30AM + 61

https://t.co/iVRnr1hjSf",11,28
Sat Feb 27 01:28:09 +0000 2021,For extra clarity: tomorrow 8AM is when appointments open for all *eligible* Brooklyn and Queens residents https://t.co/6bHiIE8OiS,6,27
Sat Feb 27 00:27:31 +0000 2021,Confirmed https://t.co/YxlDFb4oFo,0,20
